p-давление s0-начальная толщина заготовки s-текущая толщина в верхней точке купола заготовки h-высота подъема купола t-время R0-радиус основания T-температура const=890
=======================================================================================================
p   s0     s     h     t   R0 S/S0
=======================================================================================================
3  0.85 0.815   7.1   570 20  0.95882
3  0.85 0.815   8.2   570 25  0.95882
3  0.85 0.8     9.15  570 30  0.94118
3  0.85 0.788  11.6   570 35  0.92706
3  0.85 0.775  13.4   570 40  0.91176
3  0.85 0.77   16.8   570 45  0.90588
3  0.85 0.76   10.0  5990 20  0.89412
3  0.85 0.725  13.1  5990 25  0.85294
3  0.85 0.72   17.7  5990 30  0.84706
3  0.85 0.657  21.6  5990 35  0.77294
3  0.85 0.60   27.2  5990 40  0.70588
3  0.85 0.53   34.65 5990 45  0.62353
