p-давление s0-начальная толщина заготовки s-текущая толщина в верхней точке купола заготовки h-высота подъема купола t-время R0-радиус основания T-температура
=======================================================================================================
p    s0        s     h     t   R0  S/S0
=======================================================================================================
3   0.93    0.765  20.95  500 50  0.82258
3   0.93    0.73   22.25  750 50  0.78495
3   0.925   0.69   24.5  1000 50  0.74595
3   0.93    0.655  27.85 1500 50  0.7043
3   0.92    0.615  29.3  2000 50  0.66848
3   0.9     0.537  31.95 2500 50  0.59667
3   0.94    0.51   35.5  3000 50  0.54255
3   0.93    0.38   44.05 4000 50  0.4086
3   0.925   0.365  47.8  4244 50  0.39459
3.5 0.935   0.635  28.3  1000 50  0.67914
3.5 0.93    0.57   33.4  1500 50  0.6129
3.5 0.93    0.43   41.7  2000 50  0.46237
3.5 0.86    0.25   47.35 2515 50  0.2907
4   0.94    0.682  26     500 50  0.725532
4   0.935   0.515  35.4  1000 50  0.550802
4   0.935   0.433  40.5  1250 50  0.463102
4   0.87    0.25   47.7  1534 50  0.290698
5   0.945   0.695  24.5   180 50  0.73545
5   0.95    0.6    31     360 50  0.631579
5   0.945   0.458  38.4   540 50  0.484656
5   0.945   0.36   44.2   576 50  0.380952
6   0.95    0.7    24.15   90 50  0.736842
6   0.95    0.589  30.65  180 50  0.62
6   0.95    0.443  38.6   270 50  0.466316
6   0.94    0.36   45.3   305 50  0.382979
