p-давление s0-начальная толщина заготовки s-текущая толщина в верхней точке купола заготовки h-высота подъема купола t-время R0-радиус основания T-температура
=======================================================================================================
p    s0        s     h     t   R0  Rho0
=======================================================================================================
3   0.93    0.765  20.95  500 50  5
3   0.93    0.73   22.25  750 50  5
3   0.925   0.69   24.5  1000 50  5
3   0.93    0.655  27.85 1500 50  5
3   0.92    0.615  29.3  2000 50  5
3   0.9     0.537  31.95 2500 50  5
3   0.94    0.51   35.5  3000 50  5
3   0.88	0.425  37.35 3500 50  5
3   0.93    0.38   44.05 4000 50  5
3   0.925   0.365  47.8  4244 50  5
3.5 0.935   0.635  28.3  1000 50  5
3.5 0.93    0.57   33.4  1500 50  5
3.5 0.93    0.43   41.7  2000 50  5 
3.5 0.86    0.25   47.35 2515 50  5 
4   0.94    0.682  26     500 50  5 
4   0.935   0.515  35.4  1000 50  5 
4   0.935   0.433  40.5  1250 50  5 
4   0.87    0.25   47.7  1534 50  5 
5   0.945   0.695  24.5   180 50  5 
5   0.95    0.6    31     360 50  5 
5   0.945   0.458  38.4   540 50  5 
5   0.945   0.36   44.2   576 50  5 
6   0.95    0.7    24.15   90 50  5 
6   0.95    0.589  30.65  180 50  5 
6   0.95    0.443  38.6   270 50  5
6   0.94    0.36   45.3   305 50  5
