p-давление s0-начальная толщина заготовки s-текущая толщина в верхней точке купола заготовки h-высота подъема купола t-время R0-радиус основания T-температура const=890
=======================================================================================================
p   s0     s     h     t   R0 S/S0
=======================================================================================================
3  0.85 0.815   7.1   570 20  0.95882
3  0.85 0.815   8.2   570 25  0.95882
3  0.85 0.8     9.15  570 30  0.94118
3  0.85 0.788  11.6   570 35  0.92706
3  0.85 0.775  13.4   570 40  0.91176
3  0.85 0.77   16.8   570 45  0.90588
3  0.85 0.76   10.0  5990 20  0.89412
3  0.85 0.725  13.1  5990 25  0.85294
3  0.85 0.72   17.7  5990 30  0.84706
3  0.85 0.657  21.6  5990 35  0.77294
3  0.85 0.60   27.2  5990 40  0.70588
3  0.85 0.53   34.65 5990 45  0.62353
8  0.85 0.68    9.5  1830 20  0.8
8  0.85 0.63   14.9  1830 25  0.74118
8  0.85 0.6    21.3  1830 30  0.70588
8  0.85 0.505  28.3  1830 35  0.59412
8  0.85 0.36   39.57 1830 40  0.42353
12 0.85 0.74   11.4   360 20  0.87059
12 0.85 0.71   14.9   360 25  0.83529
12 0.85 0.66   18.6   360 30  0.77647
12 0.85 0.59   24.9   360 35  0.69412
12 0.85 0.45   32.05  360 40  0.52941
16 0.85 0.78    9.35  230 20  0.91765
16 0.85 0.76   12     230 25  0.89412
16 0.85 0.72   13.85  230 30  0.84706
16 0.85 0.65   19.8   230 35  0.7647
16 0.85 0.59   26.55  230 40  0.69412
