p-давление s0-начальная толщина заготовки s-текущая толщина в верхней точке купола заготовки h-высота подъема купола t-время R0-радиус основания T-температура
=======================================================================================================
p    s0        s     h     t   R0  S/S0
=======================================================================================================
3   0.921   0.765  20.95  500 50  0.82258
3   0.921   0.73   22.25  750 50  0.78495
3   0.921   0.69   24.5  1000 50  0.74595
3   0.921   0.655  27.85 1500 50  0.7043
3   0.921   0.615  29.3  2000 50  0.66848
3   0.921   0.537  31.95 2500 50  0.59667
3   0.921   0.51   35.5  3000 50  0.54255
3   0.921   0.425  37.35 3500 50  0.48295
3   0.921   0.38   44.05 4000 50  0.4086
3   0.921   0.365  47.8  4244 50  0.39459
