=======================================================================================================
p    s0        s     	   h     t       R0    rho
=======================================================================================================
2.96077   1.35    1.085477411   10.75   300     22.5  3
2.96077   1.35    0.893146402   14.93   900     22.5  3
2.96077   1.35    0.6452889     20.33   2050    22.5  3
2.96077   1.35    0.551926196   22.56   2500    22.5  3
2.96077   1.35    0.445799601   25.35   2900    22.5  3
3.947693   1.35    1.139462  	  10.6    140     22.5  3
3.947693   1.35    0.958269  	  14.7    440     22.5  3
3.947693   1.35    0.655681  	  20.2    940     22.5  3
3.947693   1.35    0.509544   	  22.6    1250    22.5  3
3.947693   1.35    0.35851    	  25      1390    22.5  3
4.934616   1.35    1.09553043    10.63   90      22.5  3
4.934616   1.35    0.920853928   14.52   250.00  22.5  3
4.934616   1.35    0.714418743   19.05   500.00  22.5  3
4.934616   1.35    0.585767494   22.09   650.00  22.5  3
4.934616   1.35    0.464129908   25.32   750.00  22.5  3
